author	title	source	in collection	translator			sorted out	identifier
Herbert George Wells	The Lord of the Dynamos	https://www.gutenberg.org/ebooks/456	The Door in the Wall And Other Stories				False	52
Herbert George Wells	The Country of the Blind	https://www.gutenberg.org/ebooks/456	The Door in the Wall And Other Stories				False	53
Arthur Machen	A Fragment of Life	https://www.gutenberg.org/ebooks/25016	The House of Souls				False	54
Arthur Machen	The White People	https://www.gutenberg.org/ebooks/25016	The House of Souls				False	55
Arthur Machen	The Great God Pan	https://www.gutenberg.org/ebooks/25016	The House of Souls				False	56
Arthur Machen	The Inmost Light	https://www.gutenberg.org/ebooks/25016	The House of Souls				False	57
Robert Ervin Howard	The Hour of the Dragon	https://www.gutenberg.org/ebooks/42243					False	58
Robert Ervin Howard	Red Nails	https://www.gutenberg.org/ebooks/32759					False	59
Matthew Phipps Shiel	The Purple Cloud	https://www.gutenberg.org/ebooks/11229					False	60
Matthew Phipps Shiel	The Lord of the Sea	https://www.gutenberg.org/ebooks/6993					False	61
Lord Dunsany	The King of Elfland's Daughter	https://www.gutenberg.org/ebooks/61077					False	62
Lord Dunsany	The Sword of Welleran	https://www.gutenberg.org/ebooks/10806	The Sword of Welleran and Other Stories				False	63
Lord Dunsany	The Fall of Babbulkund	https://www.gutenberg.org/ebooks/10806	The Sword of Welleran and Other Stories				False	64
Lord Dunsany	The Kith of the Elf-folk	https://www.gutenberg.org/ebooks/10806	The Sword of Welleran and Other Stories				False	65
Lord Dunsany	The Highwaymen	https://www.gutenberg.org/ebooks/10806	The Sword of Welleran and Other Stories				False	66
Lord Dunsany	In the Twilight	https://www.gutenberg.org/ebooks/10806	The Sword of Welleran and Other Stories				False	67
Lord Dunsany	The Ghosts	https://www.gutenberg.org/ebooks/10806	The Sword of Welleran and Other Stories				False	68
Lord Dunsany	The Whirlpool	https://www.gutenberg.org/ebooks/10806	The Sword of Welleran and Other Stories				False	69
Lord Dunsany	The Hurricane	https://www.gutenberg.org/ebooks/10806	The Sword of Welleran and Other Stories				False	70
Lord Dunsany	The Fortress Unvanquishable, Save For Sacnoth	https://www.gutenberg.org/ebooks/10806	The Sword of Welleran and Other Stories				False	71
Lord Dunsany	The Lord of Cities	https://www.gutenberg.org/ebooks/10806	The Sword of Welleran and Other Stories				False	72
Lord Dunsany	The Doom of La Traviata	https://www.gutenberg.org/ebooks/10806	The Sword of Welleran and Other Stories				False	73
Lord Dunsany	On The Dry Land	https://www.gutenberg.org/ebooks/10806	The Sword of Welleran and Other Stories				False	74
Fritz Leiber	The Green Millenium	https://www.gutenberg.org/ebooks/65482					False	75
Fritz Leiber	The Night of the Long Knives	https://www.gutenberg.org/ebooks/25024					False	76
Jonas Lie	THE FISHERMAN AND THE DRAUG	https://www.gutenberg.org/ebooks/13508	Weird Tales from Northern Seas	R. Nisbet Bain			False	78
Jonas Lie	JACK OF SJÖHÖLM AND THE GAN-FINN	https://www.gutenberg.org/ebooks/13508	Weird Tales from Northern Seas	R. Nisbet Bain			False	79
Jonas Lie	TUG OF WAR	https://www.gutenberg.org/ebooks/13508	Weird Tales from Northern Seas	R. Nisbet Bain			False	80
Jonas Lie	"THE EARTH DRAWS"	https://www.gutenberg.org/ebooks/13508	Weird Tales from Northern Seas	R. Nisbet Bain			False	81
Jonas Lie	THE CORMORANTS OF ANDVÆR	https://www.gutenberg.org/ebooks/13508	Weird Tales from Northern Seas	R. Nisbet Bain			False	82
Jonas Lie	ISAAC AND THE PARSON OF BRÖNÖ	https://www.gutenberg.org/ebooks/13508	Weird Tales from Northern Seas	R. Nisbet Bain			False	83
Jonas Lie	THE WIND-GNOME	https://www.gutenberg.org/ebooks/13508	Weird Tales from Northern Seas	R. Nisbet Bain			False	84
Jonas Lie	THE HULDREFISH	https://www.gutenberg.org/ebooks/13508	Weird Tales from Northern Seas	R. Nisbet Bain			False	85
Jonas Lie	FINN BLOOD	https://www.gutenberg.org/ebooks/13508	Weird Tales from Northern Seas	R. Nisbet Bain			False	86
Jonas Lie	THE HOMESTEAD WESTWARD IN THE BLUE MOUNTAINS	https://www.gutenberg.org/ebooks/13508	Weird Tales from Northern Seas	R. Nisbet Bain			False	87
Jonas Lie	"IT'S ME!"	https://www.gutenberg.org/ebooks/13508	Weird Tales from Northern Seas	R. Nisbet Bain			False	88
Edward Frederic Benson	“AND THE DEAD SPAKE----”	https://www.gutenberg.org/ebooks/60339	Visible and Invisible				False	89
Edward Frederic Benson	THE OUTCAST	https://www.gutenberg.org/ebooks/60339	Visible and Invisible				False	90
Edward Frederic Benson	THE HORROR-HORN	https://www.gutenberg.org/ebooks/60339	Visible and Invisible				False	91
Edward Frederic Benson	MACHAON	https://www.gutenberg.org/ebooks/60339	Visible and Invisible				False	92
Edward Frederic Benson	NEGOTIUM PERAMBULANS	https://www.gutenberg.org/ebooks/60339	Visible and Invisible				False	93
Edward Frederic Benson	AT THE FARMHOUSE	https://www.gutenberg.org/ebooks/60339	Visible and Invisible				False	94
Edward Frederic Benson	INSCRUTABLE DECREES	https://www.gutenberg.org/ebooks/60339	Visible and Invisible				False	95
Edward Frederic Benson	THE GARDENER	https://www.gutenberg.org/ebooks/60339	Visible and Invisible				False	96
Edward Frederic Benson	MR. TILLY’S SÉANCE	https://www.gutenberg.org/ebooks/60339	Visible and Invisible				False	97
Edward Frederic Benson	MRS. AMWORTH	https://www.gutenberg.org/ebooks/60339	Visible and Invisible				False	98
Edward Frederic Benson	IN THE TUBE	https://www.gutenberg.org/ebooks/60339	Visible and Invisible				False	99
Edward Frederic Benson	RODERICK’S STORY	https://www.gutenberg.org/ebooks/60339	Visible and Invisible				False	100
Ambrose Bierce	The Damned Thing	https://www.gutenberg.org/ebooks/23172					False	101
Mary Elizabeth Counselman	The Conquistadors Come	https://www.gutenberg.org/ebooks/63982					False	102
Mary Wollstonecraft Shelley	Frankenstein; or, the Modern Prometheus	https://www.gutenberg.org/ebooks/84					False	103
Walter de la Mare	The Return	https://www.gutenberg.org/ebooks/3075					False	122
Joan Lindsay	Picnic at Hanging Rock	https://www.amazon.de/-/en/Joan-Lindsay-ebook/dp/B01E6G6GWO/					False	123
Christopher Priest	The Affirmation	https://www.amazon.de/-/en/Christopher-Priest-ebook/dp/B005QE3N4K/					False	124
Christopher Priest	The Glamour	https://www.amazon.de/-/en/Christopher-Priest-ebook/dp/B005694TVQ/					False	125
Alan Garner	Red Shift	https://www.amazon.de/-/en/Alan-Garner-ebook/dp/B00DPZN39C/					False	126
Henry Kuttner	The Secret of Kralitz	https://www.gutenberg.org/ebooks/32584					False	128
